Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Harassment ,18-0001 ,Off Campus ,01/02/2018 12:26 p.m. ,12/11/2017,midnight ,Monday,01/02/2018 midnight ,Inactive 
Weapons Violations (Clery) ,18-0002 ,McMurtry College ,01/02/2018 4 p.m. ,12/21/2017,midnight ,Thursday,01/03/2018 7:30 a.m. ,Judicial Referral 
Theft ,18-0005 ,BRC ,01/05/2018 4:47 p.m. ,1/5/2018,1 p.m. ,Friday,01/05/2018 4:45 p.m. ,Inactive 
Criminal Trespass ,18-0006 ,North Colleges ,01/05/2018 11:11 p.m. ,1/5/2018,11 p.m. ,Friday,01/06/2018 1 a.m. ,Criminal Arrest 
Theft ,18-0007 ,Rice Village Apartments ,01/07/2018 11:45 a.m. ,12/8/2017,midnight ,Friday,01/07/2018 midnight ,Inactive 
Robbery (Clery) ,18-0008 ,Off Campus ,01/07/2018 10:04 p.m. ,1/7/2018,9:30 p.m. ,Sunday,01/07/2018 10 p.m. ,Referred other jurisdiction 
Theft ,18-0011 ,Keck Hall ,01/08/2018 4:50 p.m. ,1/8/2018,2 a.m. ,Monday,01/08/2018 5 a.m. ,Inactive 
Warrants ,18-0015 ,Tudor Field House ,01/10/2018 10:28 p.m. ,1/10/2018,10:25 p.m. ,Wednesday,01/10/2018 10:30 p.m. ,Criminal Arrest 
Theft ,18-0016 ,Duncan Hall ,01/11/2018 2:19 p.m. ,1/11/2018,noon ,Thursday,01/19/2018 noon ,Cleared 
Theft ,18-0017 ,Jesse H. Jones School ,01/11/2018 7:46 p.m. ,1/11/2018,9 a.m. ,Thursday,01/11/2018 7 p.m. ,Inactive 
Criminal Mischief ,18-0018 ,West Lot ,01/12/2018 10:53 a.m. ,1/9/2018,12:32 p.m. ,Tuesday,01/12/2018 11:12 a.m. ,Inactive 
Criminal Trespass ,18-0020 ,Greenbriar Lot ,01/13/2018 9:03 a.m. ,1/13/2018,9:03 a.m. ,Saturday,01/13/2018 12:30 p.m. ,Criminal Arrest 
Burglary (Clery) ,18-0021 ,Rice Stadium ,01/13/2018 12:22 p.m. ,1/12/2018,midnight ,Friday,01/13/2018 12:15 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0022 ,Tudor Field House ,01/13/2018 4:10 p.m. ,1/13/2018,4:11 p.m. ,Saturday,01/13/2018 4:44 p.m. ,Criminal Arrest 
Criminal Mischief ,18-0023 ,Rice Stadium ,01/13/2018 3:58 p.m. ,1/12/2018,3 p.m. ,Friday,01/13/2018 2:30 p.m. ,Inactive 
Criminal Mischief ,18-0025 ,West Lot ,01/14/2018 1:53 a.m. ,8/27/2017,midnight ,Sunday,01/14/2018 2:04 a.m. ,Inactive 
Theft ,18-0028 ,Martel College ,01/15/2018 3:27 p.m. ,12/10/2017,6 p.m. ,Sunday,01/15/2018 3 p.m. ,Inactive 
Criminal Mischief ,18-0031 ,Founders Court Drive ,01/17/2018 11:30 a.m. ,1/16/2018,6 p.m. ,Tuesday,01/17/2018 11:30 a.m. ,Inactive 
Failure to Stop and Give Information ,18-0032 ,West Lot ,01/18/2018 12:12 p.m. ,1/12/2018,3 p.m. ,Friday,01/18/2018 12:12 p.m. ,Inactive 
Fraud ,18-0033 ,Sid Richardson College ,01/19/2018 2:45 p.m. ,5/1/2017,8 a.m. ,Monday,01/19/2018 2 p.m. ,Inactive 
Public Intoxication ,18-0036 ,Willys Pub ,01/20/2018 12:11 a.m. ,1/20/2018,12:11 a.m. ,Saturday,01/20/2018 3:37 a.m. ,Cleared 
Theft ,18-0038 ,Herzstein Hall ,01/22/2018 9:29 a.m. ,1/22/2018,9:29 a.m. ,Monday,01/22/2018 11:18 a.m. ,Inactive 
Harassment ,18-0039 ,Off Campus ,01/22/2018 noon ,1/22/2018,noon ,Monday,01/22/2018 12:32 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0040 ,West Lot ,01/23/2018 4:17 p.m. ,1/18/2018,9 p.m. ,Thursday,01/20/2018 11:30 a.m. ,Inactive 
